Parent,Child,Parent_size,Child_size,Parent_box_no,Child_box_no,Order,Overlap_perc,Participant_id,Image,Rotation_difference,Sym_axis_overlap
39.0,40.0,132727.99999999997,25578.0,0.0,1.0,Parent to Child,0.9543194077790792,7.0,EVA - 3272.jpg,82.04562516108663,0.05265467310223782
52.0,53.0,92843.0,45400.0,0.0,1.0,Parent to Child,0.8190803964757709,7.0,EVA - 35760.jpg,0.0,0.0
52.0,54.0,92843.0,30000.0,0.0,2.0,Parent to Child,1.0,7.0,EVA - 35760.jpg,0.0,0.0
52.0,55.0,92843.0,14742.0,0.0,3.0,Parent to Child,1.0,7.0,EVA - 35760.jpg,0.0,0.0
115.0,117.0,80599.99909698965,80599.99909698965,0.0,2.0,Parent to Child,0.9443362289903359,13.0,mario-schifano_interno-esterno-1976.jpg,90.0,0.054676909173068236
124.0,123.0,97383.99860423806,75199.99917745593,1.0,0.0,Child to Parent,0.997340425542455,13.0,ivan-albright_moscow-1967.jpg,90.0,0.04145255224391915
206.0,202.0,249990.9947893322,54739.99942064287,4.0,0.0,Child to Parent,1.0,25.0,anne-appleby_crocus-2012.jpg,44.69558352773382,0.0
207.0,202.0,468539.9890956284,54739.99942064287,5.0,0.0,Child to Parent,0.99975426398521,25.0,anne-appleby_crocus-2012.jpg,44.69558352773382,0.0
206.0,203.0,249990.9947893322,54739.99942064287,4.0,1.0,Child to Parent,1.0,25.0,anne-appleby_crocus-2012.jpg,44.69558352773382,0.0
207.0,203.0,468539.9890956284,54739.99942064287,5.0,1.0,Child to Parent,0.9999576354586954,25.0,anne-appleby_crocus-2012.jpg,44.69558352773382,0.06520933679140423
206.0,204.0,249990.9947893322,54739.99942064285,4.0,2.0,Child to Parent,1.0,25.0,anne-appleby_crocus-2012.jpg,44.69558352773382,0.0
207.0,204.0,468539.9890956284,54739.99942064285,5.0,2.0,Child to Parent,0.9997577737753784,25.0,anne-appleby_crocus-2012.jpg,44.69558352773382,0.06520933679140423
