,box_id,min_rmss_index,max_rmss_index,initial_size,enlarged_size,perc_increase
0,23,20,0,40194.0,51574.0,0.2831268348509728
1,26,0,9,71262.0,71262.0,0.0
2,32,1,12,88816.0,89487.0,0.007554945054945055
3,42,1,36,73125.0,73676.0,0.007535042735042735
4,48,12,145,28900.0,33124.0,0.14615916955017302
5,49,0,4,28900.0,28900.0,0.0
6,59,0,280,6000.0,6000.0,0.0
7,60,24,1,5170.0,9514.0,0.8402321083172147
8,65,87,6,28399.99996125698,65722.99990680814,1.3141901407206638
9,68,69,116,30457.999849259853,59437.99979682267,0.9514741641272627
10,71,9,160,29294.999921172857,32471.999915271997,0.10844854079699023
11,80,30,0,28468.99991002679,42148.9998537004,0.4805226733256447
12,85,0,54,9030.000143647188,9030.000143647188,0.0
13,141,0,1,20000.0,20000.0,0.0
14,142,0,9,20000.0,20000.0,0.0
15,143,0,14,20000.0,20000.0,0.0
16,144,118,1,20000.0,69324.0,2.4662
17,151,75,209,20000.0,48125.0,1.40625
18,154,0,30,20000.0,20000.0,0.0
19,156,57,226,20000.0,40349.0,1.01745
20,278,105,18,22113.0,65268.0,1.9515669515669516
21,280,5,0,20174.0,21624.0,0.07187469019530088
22,281,14,65,80109.0,88621.0,0.10625522725286797
23,283,0,259,1800.0,1800.0,0.0
24,285,16,0,38372.0,44916.0,0.1705410194933806
25,290,0,11,21024.0,21024.0,0.0
26,291,81,3,9600.0,32037.0,2.3371875
27,293,40,0,8556.0,19436.0,1.2716222533894344
28,294,0,60,16510.0,16510.0,0.0
29,295,0,21,31590.0,31590.0,0.0
30,297,0,30,18370.0,18370.0,0.0
31,300,45,260,3648.0,11118.0,2.0476973684210527
32,301,153,66,20874.0,88500.0,3.2397240586375395
33,302,0,59,41448.0,41448.0,0.0
34,304,0,22,51296.0,51296.0,0.0
35,305,126,30,26928.0,84258.0,2.1290106951871657
36,390,5,2,94800.0,97905.0,0.032753164556962026
37,391,0,70,24402.0,24402.0,0.0
38,392,46,0,23843.0,40863.0,0.7138363460973871
39,397,0,66,19812.0,19812.0,0.0
40,399,76,204,16400.0,43608.0,1.6590243902439024
41,400,17,0,20000.0,25389.0,0.26945
42,402,0,122,30600.0,30600.0,0.0
43,410,0,40,91773.0,91773.0,0.0
44,411,231,11,5076.0,92625.0,17.247635933806148
45,412,0,147,14400.0,14400.0,0.0
46,414,6,1,4774.0,5644.0,0.1822371177209887
47,417,47,93,16100.0,30576.0,0.8991304347826087
48,422,1,124,16905.0,17172.0,0.015794143744454304
49,427,69,7,22185.0,47508.0,1.141446923597025
50,429,135,0,13800.0,63750.0,3.619565217391304
51,430,5,108,17608.0,18963.0,0.07695365742844162
52,433,1,72,14030.0,14268.0,0.016963649322879543
53,440,0,175,54988.0,54988.0,0.0
54,456,75,0,21888.0,51813.0,1.3671875
55,461,0,33,65895.0,65895.0,0.0
56,468,0,76,14200.0,14200.0,0.0
57,469,0,43,8910.0,8910.0,0.0
58,497,77,18,11000.0,33099.0,2.009
