,box_id,match_id,dice_score,iou,detected_class,confidence_score,experiment
0,0,0,0.1456867592359349,0.0781242303334811,person,0.8988277912139893,2
1,1,-1,0.0,0.0,None,0.0,2
2,2,2,0.6187672880017488,0.4426548298456986,chair,0.6048749685287476,2
3,3,-1,0.0,0.0,None,0.0,2
4,4,-1,0.0,0.0,None,0.0,2
5,5,-1,0.0,0.0,None,0.0,2
6,6,0,0.3144384041211601,0.18472887075257005,elephant,0.5108985304832458,2
7,7,-1,0.0,0.0,None,0.0,2
8,8,0,0.0,0.0,vase,0.5466119647026062,2
9,9,-1,0.0,0.0,None,0.0,2
10,10,0,0.0,0.0,chair,0.885055661201477,2
11,11,0,0.25275993020709825,0.1443529247521988,chair,0.885055661201477,2
12,12,0,0.13241051468476125,0.07071578523567136,clock,0.5224106311798096,2
13,13,1,0.5527004784458216,0.3792424018521255,apple,0.45084452629089355,2
14,14,-1,0.0,0.0,None,0.0,2
15,15,1,0.046939318628979675,0.02396886420807822,cow,0.7058093547821045,2
16,16,0,0.7045782198756687,0.5371210746051915,vase,0.4801537096500397,2
17,17,-1,0.0,0.0,None,0.0,2
18,18,0,0.0,0.0,horse,0.2781713902950287,2
19,19,8,0.012427507616901567,0.006246960685295328,clock,0.2666175365447998,2
20,20,-1,0.0,0.0,None,0.0,2
21,21,-1,0.0,0.0,None,0.0,2
22,22,-1,0.0,0.0,None,0.0,3
23,23,1,0.8277650625087213,0.697510102354393,car,0.8466423749923706,3
24,24,0,0.0,0.0,boat,0.7093385457992554,3
25,25,0,0.0,0.0,cup,0.29364022612571716,3
26,26,0,0.8101127165513772,0.6769486999490716,cup,0.29364022612571716,3
27,27,5,0.12262986781242272,0.06515316436013062,umbrella,0.7105093002319336,3
28,28,0,0.16044767555072814,0.08707056161283687,train,0.8150440454483032,3
29,29,3,0.2897981906231905,0.16817021276595745,giraffe,0.8273497223854065,3
30,30,8,0.247746699236348,0.13989473684210527,giraffe,0.49578770995140076,3
31,31,-1,0.0,0.0,None,0.0,3
32,32,7,0.4065157932043824,0.2528557169790396,train,0.4910902976989746,3
33,33,-1,0.0,0.0,None,0.0,3
34,34,0,0.2623456781796682,0.150040487429147,chair,0.8022940158843994,3
35,35,0,0.0,0.0,chair,0.8022940158843994,3
36,36,0,0.4427194274378816,0.2811438588802454,kite,0.9631454944610596,3
37,37,1,0.0795115697804384,0.04132231404958678,person,0.8804436326026917,3
38,38,1,0.0007995988240615413,0.00039971047997666557,zebra,0.7669401168823242,3
39,39,-1,0.0,0.0,None,0.0,3
40,40,-1,0.0,0.0,None,0.0,3
41,41,0,0.18825136494798667,0.10370083025509791,boat,0.9036352634429932,3
42,42,0,0.5678670905591865,0.3939802289817205,cow,0.9660264849662781,3
43,43,0,0.06659724956273295,0.034286814986034864,cow,0.9660264849662781,3
44,44,0,0.0,0.0,surfboard,0.6507948040962219,3
45,45,-1,0.0,0.0,None,0.0,3
46,46,-1,0.0,0.0,None,0.0,3
47,47,-1,0.0,0.0,None,0.0,3
48,48,0,0.8821506105692436,0.7821069780070594,orange,0.9010528326034546,3
49,49,2,0.8651428147233465,0.7559995949640531,orange,0.6646651029586792,3
50,50,-1,0.0,0.0,None,0.0,3
51,51,-1,0.0,0.0,None,0.0,3
52,52,3,0.0011473442845506574,0.0005735833023527537,boat,0.6231699585914612,3
53,53,0,0.009005265367351687,0.004516730989439756,boat,0.8580994009971619,3
54,54,0,0.0,0.0,boat,0.8580994009971619,3
55,55,0,0.0,0.0,boat,0.8580994009971619,3
56,56,0,0.7352340211522318,0.5750126496879744,bird,0.9010188579559326,3
57,57,0,0.0552239602687968,0.028325668212519483,book,0.9292128086090088,3
58,58,0,0.0,0.0,book,0.9292128086090088,3
59,59,1,0.7233469522334928,0.5488385944014295,boat,0.7862555980682373,3
60,60,0,0.6934908400455111,0.5199208816049732,boat,0.9281637072563171,3
61,61,3,0.22463424724464276,0.1261327584091427,knife,0.3259446918964386,3
62,62,0,0.0,0.0,refrigerator,0.943884551525116,4
63,63,-1,0.0,0.0,None,0.0,4
64,64,0,0.0,0.0,toothbrush,0.300914466381073,4
65,65,0,0.7584505540472709,0.6050504829277908,tie,0.9526929259300232,4
66,66,0,0.0,0.0,person,0.8313846588134766,4
67,67,0,0.005367282513414538,0.002689509567930288,car,0.8706485033035278,4
68,68,0,0.8515954978204193,0.7325128026070763,tennis racket,0.9808866381645203,4
69,69,2,0.09385765274323367,0.04909277249303521,bench,0.4868108630180359,4
70,70,0,0.841585186812509,0.7189209911825184,boat,0.9504562616348267,4
71,71,0,0.8407536531098769,0.7171865803413773,elephant,0.9603946208953857,4
72,72,0,0.911606192462862,0.832272675801155,pizza,0.9680526256561279,4
73,73,0,0.0,0.0,bird,0.7200682759284973,4
74,74,-1,0.0,0.0,None,0.0,4
75,75,-1,0.0,0.0,None,0.0,4
76,76,0,0.0,0.0,person,0.9495897889137268,4
77,77,-1,0.0,0.0,None,0.0,4
78,78,0,0.061111843440928085,0.030887406005677007,potted plant,0.6652289628982544,4
79,79,-1,0.0,0.0,None,0.0,4
80,80,0,0.8748592174585632,0.7670990365301468,surfboard,0.9568759202957153,4
81,81,-1,0.0,0.0,None,0.0,4
82,82,0,0.0,0.0,bench,0.463126003742218,4
83,83,-1,0.0,0.0,None,0.0,4
84,84,0,0.35743854976410955,0.21442726912405866,clock,0.8849514722824097,4
85,85,1,0.9325137477554484,0.8613056878677501,tv,0.9388476014137268,4
86,86,0,0.0,0.0,potted plant,0.5857630968093872,4
87,87,-1,0.0,0.0,None,0.0,1
88,88,-1,0.0,0.0,None,0.0,1
89,89,0,0.0,0.0,person,0.8042901754379272,1
90,90,0,0.03803922869129077,0.01919350373719664,person,0.8042901754379272,1
91,91,-1,0.0,0.0,None,0.0,1
92,92,-1,0.0,0.0,None,0.0,1
93,93,-1,0.0,0.0,None,0.0,1
94,94,-1,0.0,0.0,None,0.0,1
95,95,-1,0.0,0.0,None,0.0,1
96,96,0,0.13008913197822022,0.06926952141057935,dog,0.5287772417068481,1
97,97,-1,0.0,0.0,None,0.0,1
98,98,-1,0.0,0.0,None,0.0,1
99,99,-1,0.0,0.0,None,0.0,1
100,100,0,0.06740616099395641,0.03470184351783532,teddy bear,0.30577608942985535,1
101,101,0,0.06633779422387055,0.034132960837215065,teddy bear,0.30577608942985535,1
102,102,0,0.06633779422387055,0.034132960837215065,teddy bear,0.30577608942985535,1
103,103,0,0.04903875176220071,0.02500830794013777,teddy bear,0.30577608942985535,1
104,104,0,0.04890945575562669,0.02494071791867794,teddy bear,0.30577608942985535,1
105,105,-1,0.0,0.0,None,0.0,1
106,106,-1,0.0,0.0,None,0.0,1
107,107,-1,0.0,0.0,None,0.0,1
108,108,-1,0.0,0.0,None,0.0,1
109,109,6,0.2475786398403387,0.14028865573124477,car,0.6385447978973389,1
110,110,8,0.21982742765414856,0.12275257376483917,horse,0.5842730402946472,1
111,111,-1,0.0,0.0,None,0.0,1
112,112,-1,0.0,0.0,None,0.0,1
113,113,0,0.4502036843742091,0.28498906336717705,scissors,0.3449244499206543,1
114,114,0,0.3562590941562804,0.21318693725479126,scissors,0.3449244499206543,1
115,115,-1,0.0,0.0,None,0.0,1
116,116,-1,0.0,0.0,None,0.0,1
117,117,-1,0.0,0.0,None,0.0,1
118,118,0,0.6758140858821765,0.504950495049505,frisbee,0.7271132469177246,1
119,119,-1,0.0,0.0,None,0.0,1
120,120,-1,0.0,0.0,None,0.0,1
121,121,-1,0.0,0.0,None,0.0,1
122,122,-1,0.0,0.0,None,0.0,1
123,123,0,0.0,0.0,umbrella,0.3778686225414276,1
124,124,0,0.0,0.0,umbrella,0.3778686225414276,1
125,125,1,0.6821697513141893,0.513715989563921,potted plant,0.802862286567688,1
126,126,-1,0.0,0.0,None,0.0,1
127,127,-1,0.0,0.0,None,0.0,1
128,128,-1,0.0,0.0,None,0.0,1
129,129,-1,0.0,0.0,None,0.0,1
130,130,-1,0.0,0.0,None,0.0,1
131,131,-1,0.0,0.0,None,0.0,1
132,132,-1,0.0,0.0,None,0.0,1
133,133,-1,0.0,0.0,None,0.0,1
134,134,-1,0.0,0.0,None,0.0,1
135,135,-1,0.0,0.0,None,0.0,1
136,136,-1,0.0,0.0,None,0.0,1
137,137,-1,0.0,0.0,None,0.0,1
138,138,-1,0.0,0.0,None,0.0,1
139,139,0,0.0,0.0,person,0.8297984600067139,3
140,140,0,0.0,0.0,car,0.8637663722038269,3
141,141,3,0.5407602500860944,0.36680704441041345,suitcase,0.9084049463272095,3
142,142,4,0.7774404256011177,0.6280770168169632,suitcase,0.8558115363121033,3
143,143,6,0.72709767313578,0.5646444624361372,suitcase,0.6929518580436707,3
144,144,1,0.7113815774153737,0.5465251526606572,tennis racket,0.3108351230621338,3
145,145,-1,0.0,0.0,None,0.0,3
146,146,-1,0.0,0.0,None,0.0,3
147,147,-1,0.0,0.0,None,0.0,3
148,148,-1,0.0,0.0,None,0.0,3
149,149,-1,0.0,0.0,None,0.0,3
150,150,-1,0.0,0.0,None,0.0,3
151,151,1,0.950853942044016,0.8955182072829132,cup,0.8620322346687317,3
152,152,-1,0.0,0.0,None,0.0,3
153,153,0,0.0,0.0,bench,0.9149524569511414,3
154,154,0,0.4357585289153329,0.2749678948928183,bench,0.9149524569511414,3
155,155,-1,0.0,0.0,None,0.0,3
156,156,0,0.5430807114624366,0.3701788089256687,bench,0.936553418636322,3
157,157,0,0.11225146699162643,0.05911848768991626,bird,0.9155541062355042,3
158,158,2,0.01605021424169903,0.008045977011494253,book,0.2955479025840759,3
159,159,-1,0.0,0.0,None,0.0,3
160,160,-1,0.0,0.0,None,0.0,3
161,161,-1,0.0,0.0,None,0.0,3
162,162,-1,0.0,0.0,None,0.0,3
163,163,-1,0.0,0.0,None,0.0,3
164,164,-1,0.0,0.0,None,0.0,3
165,165,0,0.2049675654335249,0.11360999803850141,potted plant,0.3201311528682709,3
166,166,-1,0.0,0.0,None,0.0,3
167,167,0,0.0,0.0,clock,0.5702422857284546,3
168,168,-1,0.0,0.0,None,0.0,1
169,169,-1,0.0,0.0,None,0.0,1
170,170,-1,0.0,0.0,None,0.0,1
171,171,-1,0.0,0.0,None,0.0,1
172,172,-1,0.0,0.0,None,0.0,1
173,173,-1,0.0,0.0,None,0.0,1
174,174,0,0.7377567661675678,0.5814321091732968,boat,0.3515803813934326,1
175,175,0,0.0,0.0,boat,0.3515803813934326,1
176,176,0,0.0,0.0,boat,0.3515803813934326,1
177,177,0,0.0,0.0,boat,0.3515803813934326,1
178,178,0,0.0,0.0,horse,0.3462820053100586,1
179,179,0,0.0,0.0,horse,0.3462820053100586,1
180,180,-1,0.0,0.0,None,0.0,1
181,181,0,0.0,0.0,bowl,0.2793252170085907,1
182,182,0,0.0,0.0,bowl,0.2793252170085907,1
183,183,0,0.0,0.0,bowl,0.2793252170085907,1
184,184,0,0.0,0.0,bowl,0.2793252170085907,1
185,185,0,0.44750810052903395,0.2859708829646436,bowl,0.2793252170085907,1
186,186,0,0.0,0.0,bowl,0.2793252170085907,1
187,187,0,0.0,0.0,bowl,0.2793252170085907,1
188,188,0,0.0,0.0,bowl,0.2793252170085907,1
189,189,0,0.0,0.0,bowl,0.2793252170085907,1
190,190,0,0.0,0.0,bowl,0.2793252170085907,1
191,191,0,0.0,0.0,bowl,0.2793252170085907,1
192,192,0,0.0,0.0,bowl,0.2793252170085907,1
193,193,0,0.0,0.0,bowl,0.2793252170085907,1
194,194,1,0.19653652544618128,0.10839177988130855,banana,0.40153542160987854,1
195,195,2,0.11347050765339893,0.05877905256583057,bowl,0.34110909700393677,1
196,196,0,0.864319638679018,0.7539046010975095,vase,0.7169615626335144,1
197,197,2,0.08262560762717636,0.042847578665476456,orange,0.5378292202949524,1
198,198,2,0.8353711081420417,0.7067690761610796,orange,0.5378292202949524,1
199,199,-1,0.0,0.0,None,0.0,1
200,200,-1,0.0,0.0,None,0.0,1
201,201,-1,0.0,0.0,None,0.0,1
202,202,-1,0.0,0.0,None,0.0,1
203,203,-1,0.0,0.0,None,0.0,1
204,204,-1,0.0,0.0,None,0.0,1
205,205,-1,0.0,0.0,None,0.0,1
206,206,-1,0.0,0.0,None,0.0,1
207,207,-1,0.0,0.0,None,0.0,1
208,208,-1,0.0,0.0,None,0.0,1
209,209,-1,0.0,0.0,None,0.0,1
210,210,0,0.45335559993967417,0.2907986111111111,cat,0.4475732147693634,1
211,211,0,0.0,0.0,cat,0.4475732147693634,1
212,212,0,0.0,0.0,cat,0.4475732147693634,1
213,213,7,0.8417724077033684,0.7171824973319103,bicycle,0.4738909900188446,1
214,214,0,0.0,0.0,umbrella,0.8038278818130493,1
215,215,7,0.010120634114552992,0.005021842975544033,bicycle,0.4738909900188446,1
216,216,7,0.03925404814470387,0.01976815131177547,bicycle,0.4738909900188446,1
217,217,-1,0.0,0.0,None,0.0,1
218,218,-1,0.0,0.0,None,0.0,1
219,219,-1,0.0,0.0,None,0.0,1
220,220,-1,0.0,0.0,None,0.0,1
221,221,0,0.846580743275472,0.7199171991719917,sports ball,0.5725738406181335,1
222,222,1,0.7540370917100722,0.5966044954567192,teddy bear,0.40351930260658264,1
223,223,0,0.0,0.0,sports ball,0.5725738406181335,1
224,224,1,0.033431556180108804,0.016873032528856243,teddy bear,0.40351930260658264,1
225,225,0,0.0,0.0,person,0.37363654375076294,1
226,226,0,0.0,0.0,person,0.37363654375076294,1
227,227,0,0.0,0.0,person,0.37363654375076294,1
228,228,1,0.35361089766901843,0.21421632124352333,vase,0.3122481405735016,1
229,229,0,0.0,0.0,vase,0.35915666818618774,1
230,230,0,0.8781322573964943,0.7739789473684211,vase,0.35915666818618774,1
231,231,0,0.0,0.0,vase,0.35915666818618774,1
232,232,1,0.8720987957840978,0.7658846121733323,vase,0.3122481405735016,1
233,233,-1,0.0,0.0,None,0.0,1
234,234,-1,0.0,0.0,None,0.0,1
235,235,-1,0.0,0.0,None,0.0,1
236,236,-1,0.0,0.0,None,0.0,1
237,237,-1,0.0,0.0,None,0.0,1
238,238,-1,0.0,0.0,None,0.0,1
239,239,-1,0.0,0.0,None,0.0,1
240,240,0,0.0,0.0,knife,0.555392861366272,1
241,241,0,0.0,0.0,knife,0.555392861366272,1
242,242,0,0.8898379637302563,0.786626596543952,knife,0.555392861366272,1
243,243,0,0.0,0.0,knife,0.555392861366272,1
244,244,-1,0.0,0.0,None,0.0,1
245,245,-1,0.0,0.0,None,0.0,1
246,246,-1,0.0,0.0,None,0.0,1
247,247,-1,0.0,0.0,None,0.0,1
248,248,-1,0.0,0.0,None,0.0,1
249,249,-1,0.0,0.0,None,0.0,1
250,250,-1,0.0,0.0,None,0.0,1
251,251,-1,0.0,0.0,None,0.0,1
252,252,-1,0.0,0.0,None,0.0,1
253,253,0,0.17040240507278034,0.0927840358267345,cake,0.5841525197029114,2
254,254,6,0.6471074931139142,0.4723314975085235,sandwich,0.3255949020385742,2
255,255,0,0.8171395505344483,0.6747607231478199,wine glass,0.8806762099266052,2
256,256,-1,0.0,0.0,None,0.0,2
257,257,-1,0.0,0.0,None,0.0,2
258,258,-1,0.0,0.0,None,0.0,2
259,259,-1,0.0,0.0,None,0.0,2
260,260,0,0.0,0.0,bottle,0.7028934359550476,2
